"Predictor","Accuracy","AUC"
"Block1",0.606428571428571,0.780314814814815
"Block2",0.528571428571429,0.6605
"Block3",0.636047619047619,0.793222222222222
"Block4",0.602571428571429,0.835203703703704
"Early",0.596904761904762,0.703462962962963
"Later",0.647666666666667,0.839592592592593
"Overall",0.700952380952381,0.85187037037037
"Ortho",0.593809523809524,0.813055555555556
