"term","estimate","std.error","statistic","p.value"
"(Intercept)",-0.0276700728955893,0.120953656551254,-0.228765906583934,0.820022751083814
"early_change",-0.0717998774567478,0.0280469457416441,-2.55998917379939,0.0136709275520878
"Age",-0.000415855546545245,0.00395167458302587,-0.105235271226918,0.916627662849894
"Gendermale",0.105317977180024,0.0724234239859465,1.45419770819536,0.152399551143844
