"term","estimate","std.error","statistic","p.value"
"(Intercept)",-0.0146846528808389,0.122600029548428,-0.119776911432458,0.905159803505593
"later_change",0.056837526774882,0.0253279244793947,2.24406570783649,0.0294759810199604
"Age",-0.000157830387561274,0.00401561735814584,-0.0393041401818599,0.968810928873705
"Gendermale",0.0681841944848603,0.0752162729303433,0.906508549659256,0.369195070806595
